,Place2,attestations,ration
1,Athens,199,0.74
2,Aphrodisias,68,5.28
3,Delphi,49,1.11
4,Ephesos,46,1.07
5,Pergamum,46,1.20
6,Kos,40,1.12
7,Magnesia ad Maeandrum,33,6.78
8,Didyma,31,4.32
9,Sparta,28,2.86
10,Samos,26,1.36
11,Panamara,24,5.52
12,Teos,23,7.99
13,Olbia,21,1.59
14,Termessos,18,1.44
15,Thera,18,1.62
16,Miletos,18,0.95
17,Eleusis,18,1.99
18,Thyateira,18,4.86
19,Perge,17,2.46
20,Priene,17,0.69
21,Mylasa,17,3.07
22,Smyrna,16,1.52
23,Kaunos,15,4.50
24,Iasos,15,2.18
25,Roma,15,0.48
26,Prusias ad Hypium (Üskübü),14,8.43
27,Xanthos,13,8.78
28,Delos,13,0.40
29,Sardeis,13,2.41
30,Knidos,12,1.67
31,Arykanda,12,3.80
32,Stratonikeia,12,2.91
33,Philadelphia,12,1.83
34,Mytilene,12,1.56
35,Epidauros,11,0.90
36,Theadelphia (Batn Ihrīt),10,24.39
37,Hierapolis (Pamukkale),10,2.25
38,Ariassos,10,24.39
39,Side,9,1.73
40,Letoion,9,8.65
41,Tralles,9,3.42
42,Pantikapaion,8,0.74
43,Tlos,8,7.69
44,Telmessos,8,6.06
45,Akmonia,8,3.03
46,Labraunda,8,3.74
47,Halikarnassos,8,3.19
48,Hierokaisareia,8,8.33
49,Thasos,8,1.06
50,Argos,8,6.84
51,Pogla (Çomaklı-Fığla),7,25.00
52,Herakleia Salbake,7,6.93
53,Attaleia (Antalya),7,3.98
54,Apollonia,7,5.60
55,Kolophon,7,2.30
56,Nikaia,7,1.11
57,Histria,7,0.38
58,Selge (Altinkaya--Zerk),6,6.98
59,Patara,6,5.83
60,Arneai,6,21.43
61,Ankyra,6,1.62
62,Arkesine,6,2.59
63,Olympia,6,0.49
64,Chios,6,1.20
65,Beroia,6,0.73
66,Chersonesos,6,0.57
67,Persepolis,5,29.41
68,Amastris (Amasra),5,3.65
69,Gorgippia,5,2.72
70,Euhemeria (Qasr el-Banat),5,50.00
71,Olympos,5,2.17
72,Oinoanda (Incealiler),5,9.09
73,Kadyanda,5,9.43
74,Kibyra,5,0.88
75,Apameia (Dinar),5,8.62
76,Lagina,5,1.76
77,Halasarna,5,2.51
78,Aigiale,5,4.00
79,Eretria,5,0.43
80,Ioulia Gordos,5,4.90
81,Daldis,5,4.59
82,Thessalonike,5,0.38
83,Odessus,5,1.03
84,Elephantine Isl.,4,4.44
85,Palaipaphos,4,1.59
86,Apameia,4,4.12
87,Killanion Pedion,4,6.78
88,Attouda,4,8.51
89,Saittai,4,1.21
90,Fanum Apollinis,4,1.72
91,Rhodos,4,0.14
92,Thespiai,4,0.20
93,Demetrias,4,0.59
94,Akraiphia,4,1.57
95,Magdola (Medinet el-Nihās),3,37.50
96,Momemphis,3,42.86
97,Alexandria?,3,0.16
98,Anazarbos,3,0.40
99,Rhodiapolis,3,10.71
100,Kyaneai,3,13.04
101,Idebessos,3,5.56
