Description,Designation,Basket,Lat,Long,Pathname
Stamped Tile,PP662,697,37.44809583,21.9948897,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/PP662-StampedTile-697.png
Marble Column Fragment,PP663,700,37.44820116,21.99487598,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/PP663-MarbleColumnFragment-700.png
Tile Feature,F617,697,37.44809628,21.99491568,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/F617-TileFeature-697.png
Marble Column Fragment,PP664,700,37.448184,21.994877,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/PP664-MarbleColumnFragment-700.png
Curved Architectural Block,A480,699,37.44816992,21.99486148,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/A480-CurvedArchitecturalBlock-699.png
Section B ASBs,F619,709,37.44816016,21.99485226,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/Individual Photos/F619-SectionBASBs-709.png
Basin,PP603,718,37.44819477,21.99485533,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/PP603-Basin-718.png
ASB To Remove,Z1894,721,37.44817591,21.99487629,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/Z1894-ASBToRemove-721.png
Stepping Stone,A332,730,37.44818367,21.99487629,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/A332-SteppingStone-730.png
Flat Stones,Z1895/Z1896,730,37.44818807,21.99488263,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/Z1895:Z1896-FlatStones-730.png
South Section Wall,F616,736,37.44809938,21.99490151,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/F616-SouthSectionWall-Closing.png
Broken Marble Pieces,A525,744,37.4481034,21.99492598,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/A525-BrokenMarblePieces-744.png
Partial Vessel And Tile Fragment,PP675/PP676,748,37.44815449,21.99485577,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/PP675:PP676-PartialVesselAndTileFragment-748.png
Drain Pipe in North,F601,700,37.44822166,21.99485309,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/F601-DrainPipeInNorth-Closing.png
Skyphos Cup,N/A,729,37.4481754,21.99485444,/Users/alexanderurquhart/Documents/GitHub/CLCV25922/studenthub/urquhart/Final/IndividualPhotos/SkyphosCupExample-729.jpeg
